site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification
jobstreet.co.id,https://www.jobstreet.co.id/en/job/hrga-officer-2860533?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=19,null,HRGA Officer,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jawa Barat - Bekasi		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Kualifikasi    </strong>                       :</div>

<ul>
	<li>Non Pengalaman / Pengalaman min.1 Tahun (Fresh Graduate from reputable university are welcome to apply)</li>
	<li>Pendidikan min.S1 Psikologi / Manajemen / Administrasi ( IPK min.3,00 )</li>
	<li>Memiliki kemampuan komunikasi yang baik</li>
	<li>Tegas, mandiri, dan berinisiatif</li>
	<li>Memahami proses rekrutmen dan dapat mengadministrasikan alat tes dengan baik</li>
	<li>Berpengalaman dalam melakukan training karyawan</li>
	<li>Sanggup bekerja dengan deadline</li>
	<li>Diutamakan bisa mengemudikan mobil dan memiliki SIM A+C</li>
</ul>

<div> </div>

<div><strong>Tugas dan Tanggung Jawab</strong> :</div>

<ul>
	<li>Melaksanakan tugas administrasi personalia dan General Affairs termasuk update employee database</li>
	<li>Mempersiapkan perjanjian kerja dan kontrak kerja karyawan dan melakukan update masa berlaku perjanjian / kontrak kerja yang ada</li>
	<li>Membantu HR &amp; GA Manager dalam mengelola dan mengembangkan SDM secara berkesinambungan</li>
	<li>Melaksanakan serangkaian proses rekrutmen dan seleksi</li>
	<li>Mengerjakan tugas payroll system dan benefits karyawan</li>
</ul>

<div> </div>

<div><strong>Benefits</strong>                                 :</div>

<ul>
	<li>Gaji</li>
	<li>BPJS ( Ketenagakerjaan &amp; Kesehatan )</li>
	<li>Pelatihan</li>
	<li>Jenjang Karier</li>
</ul>

<div><strong>PENEMPATAN                         : BEKASI</strong></div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/vendor-management-2860537?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=18,null,Vendor Management,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Bandung		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>Shafira Corporation is fashion retail industry in Indonesia. Our brand is Shafira, Zoya, Mezora, Zoya Cosmetics, and Morning Bread.</div>

<div> </div>

<div><strong>Responsibility:</strong></div>

<ul>
	<li>Manage external vendor relations within Operations Department.</li>
	<li>Perform as functional bridge among external vendors and internal stakeholders.</li>
	<li>Coordinate all vendor management tasks inclusive of working with external vendors and internal employees.</li>
	<li>Perform internal screening process to evaluate if vendors will meet contract and service expectations.</li>
</ul>

<div><strong>Requirements:</strong></div>

<ul>
	<li>Candidate must possess at least Bachelor's Degree in any field.</li>
	<li>At least 3 Year(s) of working experience in the related field is required for this position.</li>
	<li>Preferably Supervisor/Coordinator specialized in Merchandising or equivalent.</li>
	<li>Ability to understand, remediate and resolve vendor compliance issues.</li>
	<li>Ability to negotiate across the organization and with external vendors in a collaborative manner.</li>
	<li>Excellent communication skill.</li>
	<li>Organize and excellent time management.</li>
	<li>Proficient in computer.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/project-control-staff-2860538?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=17,null,Project Control Staff,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Jobdesc:</strong></div>

<ul>
	<li>Memonitoring aktivitas proyek</li>
	<li>Memantau Anggaran biaya dan jadwal pengerjaan proyek</li>
	<li>Membuat laporan per proyek</li>
	<li>Koordinasi dengan bagian pembelian barang dan pengadaan barang-barang proyek</li>
	<li>Menentukan kebutuhan Manpower</li>
</ul>

<div><strong>Requirements :</strong></div>

<div style=""text-align:justify"">
<ul>
	<li>Usia 22 - 35 tahun</li>
	<li>Pendidikan minimal S1 Teknik Sipil, Industri,dan Arsitek IPK 2.75 skala 4.00 dari universitas terkemuka</li>
	<li>Pekerja keras,dapat bekerja dibawah tekanan, jujur, disiplin, teliti bertanggung jawab, mampu aktif dan bermotivasi tinggi.</li>
	<li>Ramah, komunikatif, fleksibel, mampu bekerja di bawah tekanan, aktif, pekerja keras dan bermotivasi tinggi</li>
	<li>Dapat bekerja individual maupun dengan team</li>
	<li>Mampu bekerja dengan target</li>
	<li>Pengalaman minimal 1 tahun dibidangnya, fresh graduate is welcome</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-produksi-2860539?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=16,null,Supervisor Produksi,null,"
			Min 5 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Cikarang - Kws. Industri MM2100		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least Bachelors Degree in Engineering (Industrial), Forestry, or equivalent.</li>
	<li>At least 5 Year(s) of working experience in the related field is required for this position.</li>
	<li><strong>Preferably Supervisor/Coordinator specialized in Production/Operation</strong></li>
	<li>Good Leadership &amp; Communication.</li>
	<li>Max. 40 tahun</li>
	<li>Terbiasa dengan tantangan dan tekanan</li>
	<li><strong>Pengalaman di bidang kayu menjadi nilai tambahan</strong></li>
	<li><strong>Bersedia di tempatkan di Cibitung, Bekasi.</strong></li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-csb-corporate-strategic-business-2860541?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=15,null,Staff CSB ( Corporate Strategic Business ),null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Timur - Ciracas		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Mendukung aktivitas administrasi divisi</li>
	<li>Menyiapkan laporan-laporan yang dibutuhkan</li>
	<li>Membuat administrasi penggunaan budget dan monitoring budget yang digunakan</li>
	<li>Melakukan pengumpulan data dan informasi</li>
	<li>Terlibat dalam pengumpulan data survey</li>
</ul>

<div>Kualifikasi</div>

<ul>
	<li>Kandidat berasal dari berbagai jurusan, kandidat dari jurusan  Bisnis/Administrasi/Manajemen atau setara lebih disukai.</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Memiliki kemampuan analisa baik</li>
	<li>Menguasai Ms. Office ( Word, Excel, Power Point)</li>
	<li>Bersedia Penempatan di Ciracas, Jakarta Timur</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/machinery-sales-deputy-manager-automotive-trading-company-2860552?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=14,null,Machinery Sales Deputy Manager - Automotive Trading Company,null,"
			Min 5 years (Manager/Assistant Manager) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><div style=""text-align: justify;"">The Machinery Deputy Manager will be reporting to the Machinery Sales Manager. The candidate should have experience in catering to the automotive manufacturing industry with a closing mentality.</div><div style=""text-align: justify;""> </div><div style=""text-align: justify;""><strong>Client Details</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;"">Our client is a Japanese Trading Company with provisions of a variety of services, including raw materials equipment and parts supply, steel processing, manufacturing of dies &amp; molds, aluminum alloys, metal, sales of completed products and recycling.</div><div style=""text-align: justify;""> </div><div style=""text-align: justify;""><strong>Description</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;"">Responsibilities:</div><ul><li style=""text-align: justify;"">- Sales activity handling</li><li style=""text-align: justify;"">- Shall visit and make close communication with potential customers</li><li style=""text-align: justify;"">- Shall get the inquiries from customers</li><li style=""text-align: justify;"">- Shall make a report for the sales</li></ul><div style=""text-align: justify;""><strong>Profile</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;"">The Machinery Deputy Manager should have experience in</div><ul><li style=""text-align: justify;"">procurement and supply of production equipment (pressing, welding, painting, assembly, completion inspections, machining, polishing and molding)</li><li style=""text-align: justify;"">manufacture and sales of dies and mold (press molds, PO molds, metal mold casts and die casts)</li><li style=""text-align: justify;"">equipment installation and after sales services.</li><li style=""text-align: justify;"">Will be located in Cikarang area</li><li style=""text-align: justify;"">Computer skills: Ms. Office (Word, Excel, PPT, etc)</li><li style=""text-align: justify;"">English proficiency is a must, Japanese language is a plus</li><li style=""text-align: justify;"">Sociable personality and proactive mind</li></ul><div style=""text-align: justify;""><strong>Job Offer</strong></div><ul><li style=""text-align: justify;"">Great Remuneration Package</li><li style=""text-align: justify;"">Career enhancement</li><li style=""text-align: justify;"">Multinational Company Exposure</li></ul><div style=""text-align: justify;"">To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Andrew Huang on +62 21 2958 8820.</div></div><div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/community-partnership-executive-klikdoktercom-pt-medika-komunika-teknologi-2860542?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=13,null,Community & Partnership Executive (Klikdokter.com)- PT Medika Komunika Teknologi,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Selatan - Wisma MRA		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities:</strong></div>

<ul>
	<li>    Research event/community/association relate to business</li>
	<li>    Build long term partnership opportunities with media, health communities &amp; government</li>
	<li>    Responsible for promotion strategy and advertising plan      </li>
	<li>    Ensure all the events managed are running well    </li>
</ul>

<div>   <br>
<strong>Requirements:</strong></div>

<ul>
	<li>    Maximum 28 years old</li>
	<li>    Bachelor Degree in Economics, Mass Communications, Marketing or equivalent with minimum GPA 3,00</li>
	<li>    Have experience minimum 1 year as Community &amp; Partnership Staff/relevant experience</li>
	<li>    Have skill in presentation and negotiation</li>
	<li>    Energetic, talkactive, open minded easy to adapt with new people, and independent</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-general-affair-2860544?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=12,null,Staff General Affair,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jawa Barat - Bekasi - Bekasi		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Requirements :</strong></div>

<ul>
	<li><strong>L</strong> / Usia maksimal 28 tahun</li>
	<li>Pendidikan S1 segala jurusan</li>
	<li>Minimal pengalaman di General Affair 1 tahun</li>
	<li>Lulusan baru dipersilahkan melamar</li>
	<li>Mampu berkomunikasi dengan baik</li>
	<li>Mampu bekerja dibawah tekanan &amp; memiliki loyalitas</li>
	<li><strong>Diutamakan domisili Bekasi</strong></li>
	<li><strong>Bersedia ditempatkan di Bekasi &amp; Cikarang</strong></li>
	<li>Bersedia melakukan perjalanan dinas</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/art-teacher-tanjung-duren-puri-indah-2860545?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=11,null,ART TEACHER (Tanjung Duren & Puri Indah),null,"
		 	Less than 1 year experience		","
			Indonesia - Jakarta Raya - Jakarta Barat		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities: </strong></div>

<div> </div>

<ul>
	<li>Teaching children age 3-15 years old how to draw the KidzArt way</li>
	<li>Monitoring your students’ progress</li>
	<li>Exploring your imagination and expressing your creative ideas</li>
</ul>

<div> </div>

<div><strong>Requirements:</strong></div>

<div> </div>

<ul>
	<li>Minimum Diploma Degree</li>
	<li>Fresh Graduated are welcome to apply</li>
	<li>Have a good communication skill</li>
	<li>Love to work with children</li>
	<li>Creative, communicative, self motivated and able to work in a team</li>
	<li>Able to speak in English</li>
	<li>Honest, loyal, discipline and trustworthy</li>
	<li>Have good drawing skill (preferable)</li>
	<li>Willing to work in Tanjung Duren &amp; Puri Indah ( West Jakarta )</li>
</ul>

<div> </div>

<div><strong>Please send your  :</strong></div>

<div> </div>

<ul>
	<li>Application letter</li>
	<li>Updated CV</li>
	<li>ID Photocopy</li>
	<li>2 free Drawing ( scan or original )</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/head-of-marketplace-2860546?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=10,null,Head of Marketplace,null,"
			Min 2 years (Supervisor/Coordinator) 
		","
			Indonesia - Jakarta Raya - Jakarta		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>   <strong>Responsibilities:</strong>  </div>

<div> - Explore potential marketplace and B2B e-Commerce</div>

<div>- Making strategy and plan to grow marketplace and B2B e-Commerce</div>

<div>- Keep good relationship and negosiate with marketplace and B2B e-Commerce</div>

<div>- Make promotion plan</div>

<div> </div>

<div><strong>Requirements:</strong></div>

<div>- Bachelor degrees from reputable university (Min GPA: 2,75)</div>

<div>- Max.35 years old</div>

<div>- 1-2 years experience handle e-Commerce/ marketplace</div>

<div>- Skills: MS Word, Pivot, Negosiation, Analytical, Presentation</div>

<div> </div>

<ul>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/senior-supervisor-accounting-tax-2860547?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=9,null,SENIOR SUPERVISOR ACCOUNTING & TAX,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Bekasi - Jatibening		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Pendidikan min D III</li>
	<li>Pengalaman min 3 tahun sebagai supervisor akunting dan perpajakan</li>
	<li>Dapat menyusun laporan keuangan bulan</li>
	<li>Dapat menangani laporan pajak bulanan dan tahunan</li>
	<li>Mampu menganalisa, mengarahkan, dan mengevaluasi sistem kerja akunting untuk pengelolaan laporan keuangan perusahaan</li>
	<li>Usia mak 35 tahun</li>
	<li>Memahami perpajakan terkini</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/design-grafis-officer-2860548?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=8,null,Design Grafis Officer (Internship),null,"
		 	Less than 1 year experience		","
			Indonesia - Jakarta Raya - Jakarta Timur - Jl. Manunggal II No.4, Cipinang Melayu, Makasar, K		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least SMU in Art/Design/Creative Multimedia or equivalent.</li>
	<li>No work experience required.</li>
	<li>Required Skill(s): Memiliki kemampuan membuat desain untuk iklan, Memiliki kemampuan membuat content video yang menarik, Mampu membuat desain content landing page, Tertarik dengan dunia property syariah</li>
	<li>Preferably Less than 1 year experience specialized in Arts/Creative/Graphics Design or equivalent.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/chief-produksi-2860549?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=7,null,CHIEF PRODUKSI,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Cikarang - Kws. MM2100 Cibitung		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must be possess at least a Diploma, Bachelor's Degree in Engineering Electrical/Electronic, Engineering Mechanical, Engineering Mechatronic/Electromechanical or equivalent</li>
	<li>Able to arrange production schedule</li>
	<li>Able to maintain production procedure</li>
	<li>Have skill in supervising and motivating the team to read production target</li>
	<li>Able to speak English (Minimum : Pasif)</li>
	<li>At least 5 year (s) of working experience in the related field.</li>
	<li>Strong Leadership</li>
	<li><strong>Would be placed in MM2100 Cibitung – Bekasi</strong></li>
</ul>

<div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/telemarketer-2860390?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=6,null,TELEMARKETER,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Pusat - CIKINI		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Diploma di bidang apapun.</li>
	<li>Bahasa yang harus dimiliki: Bahasa Indonesia</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: • Pengalaman menjadi telemarketer/ telemarketing/ sales. • Memiliki kemampuan berkomunikasi via telepon dengan baik. • Memiliki kemampuan dasar Microsoft Excel. • Memiliki tingkat ketelitian membuat laporan dengan baik. • Memiliki kemampuan bahasa Inggris pasif terutama dalam membaca dokumen Bahasa Inggris. • Memiliki kemampuan untuk analisa dan membuat strategi ketika menawarkan produk. • Memiliki kemampuan proaktif dalam mengerjakan tugas.</li>
	<li>Tugar Telemarketer:
	<ul>
		<li>Mengidentifikasi prospek dari database yang telah disediakan.</li>
		<li>Menelpon prospek dan menawarkan produk IT B2B, seperti server, storage, software, virtualisasi, analytics dan sebagainya.</li>
		<li>Mempengaruhi prospek agar tertarik untuk membeli produk IT B2B.</li>
		<li>Mengirimkan email promosi atau brosur kepada prospek.</li>
		<li>Dapat kreatif dalam mengembangkan telescript yang telah disediakan.</li>
		<li>Proaktif dalam menjalankan tugas sebagai telemarketer.</li>
		<li>Bekerja berdasarkan target yang disepakati bersama.</li>
		<li>Melengkapi database jika terdapat database yang datanya telah expired.</li>
		<li>Mengerjakan laporan menelpon setiap hari menggunakan Microsoft Excel.</li>
		<li>Memfollow up hasil telepon/ email prospek dengan proaktif untuk memperoleh target yang ditentukan.</li>
	</ul>
	</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Sales - Telesales/Telemarketing atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sales-manager-2860550?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=5,null,Sales Manager,null,"
			Min 5 years (Manager/Assistant Manager) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Maximum 40 Years Old</li>
	<li style=""text-align:justify"">Posses at least Bachelor Degree of any major</li>
	<li style=""text-align:justify"">Excellent in marketing property knowledge in Jabotabek</li>
	<li style=""text-align:justify"">At least 5 years experience in Sales &amp; Marketing Division in property industry</li>
	<li style=""text-align:justify"">Proven  track record in creating trade plan to increase sales plan</li>
	<li style=""text-align:justify"">Energetic, good communication and interpersonal skill</li>
	<li style=""text-align:justify"">Full-Time positions available.</li>
</ul>

<div style=""text-align:justify""> </div>

<div style=""text-align:justify""><strong>Responsibilities</strong></div>

<div style=""text-align:justify""> </div>

<ul>
	<li style=""text-align:justify"">Formulate and execute sale strategies with hands-on manner</li>
	<li style=""text-align:justify"">Coach and direct the sales team to ensure sales target achieved</li>
	<li style=""text-align:justify"">Analysis of customer research, current market conditions and competitor information</li>
	<li style=""text-align:justify"">Develop implement sales plans and projects</li>
	<li style=""text-align:justify"">Monitor, review, and report on all sales activity and results</li>
	<li style=""text-align:justify"">Oriented to sales targets</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-teknisi-pontianak-singkawang-2860543?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=4,null,Supervisor Teknisi (Pontianak & Singkawang),null,"
			Min 3 years (Supervisor/Coordinator) 
		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <div><div style=""text-align: justify;""><strong>Supervisor Teknisi Gedung  (Singkawang &amp; Pontianak)</strong></div><div style=""text-align: justify;""> </div><div style=""text-align: justify;""><strong>Job Desk :</strong></div><ul><li style=""text-align: justify;"">Dapat mengelola gedung</li><li style=""text-align: justify;"">Dapat menganalisis dan problem solving</li><li style=""text-align: justify;"">Memimpin dan mengarahkan SDM yang menjadi pengawasannya baik kinerja dan disiplin kerja.</li><li style=""text-align: justify;"">Membuat analisa kebutuhan reparasi dan pengadaan baru pada perangkat kerja.</li></ul><div style=""text-align: justify;""><strong>Kualifikasi :</strong></div><ul><li style=""text-align: justify;"">Usia maksimal 45 tahun</li><li style=""text-align: justify;"">Pendidikan Min STM/SMK Jurusan Teknik</li><li style=""text-align: justify;"">Kesehatan dalam keadaan prima</li><li style=""text-align: justify;"">Berpengalaman Gedung min 3 Tahun</li><li style=""text-align: justify;"">Dapat Memahami fungsi Utility gedung ( Travo, LVMDP, Genset, HVAC, STP )</li><li style=""text-align: justify;"">Menguasai Mechanical, Electrical, Administrasi, dan mengetahui pekerjaan sipil serta mampu menyusun SOP gedung dan melaksanakan preventife maintenance</li><li style=""text-align: justify;"">Memiliki Kemampuan memimpin, komunikatif, bernegosiasi, bersosialisasi, berfikiri sistematis, dan mampu bekerja dibawah tekanan</li><li style=""text-align: justify;"">Domisili Singkawang &amp; Pontianak Diutamakan</li></ul></div><div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-hr-legal-2860248?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=3,null,Staff HR Legal,null,"
			Min 5 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jawa Timur - Sidoarjo - Waru sidoarjo		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Gelar Sarjana di Hukum atau setara.</li>
	<li>Setidaknya memiliki 5 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: Usia maksimal 35 tahun, Diutamakan laki, Pengalaman min 5 tahun, Memiliki kemampuan komunikasi dan negosiasi yang baik, Mengerti dan memahami hukum perdata, pidana dan ketenagakerjaan</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Hukum/Pelayanan Legal atau setara.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/qs-engineer-me-2860553?fr=J&src=16&srcr=16&searchRequestToken=06dbf620-1140-4b9a-9f9b-61fa6ece39be&sectionRank=2,null,QS ENGINEER (ME),null,"
			Min 4 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - APL Central Park		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>We are currently looking for an experienced QS Engineer (ME) in apartment/ high rise building/ infrastructure.</div>

<div> </div>

<div><strong>JOB RESPONSIBILITIES:</strong> </div>

<div> </div>

<div>Tender Stage</div>

<ul>
	<li>Attend to aanwijdzing meeting</li>
	<li>Review drawing (architecture/structure)</li>
	<li>Calculate quantity based on drawing and compare with BQ by Owner/Consultant</li>
	<li>Make a price analysis</li>
	<li>Negotiate with supplier and sub-contractor for getting competitive price</li>
	<li>Value Engineering</li>
	<li>Prepare tender document</li>
</ul>

<div> </div>

<div>Construction Stage</div>

<ul>
	<li>Prepare cost for project</li>
	<li>Negotiate cost for project</li>
	<li>Coordinate and Negotiate with Supplier and Sub Contractor</li>
	<li>Cost control</li>
	<li>Cost reporting during project construction</li>
	<li>Final cost report</li>
	<li>Value Engineering</li>
</ul>

<div> </div>

<div> </div>

<div><strong>REQUIREMENTS:</strong></div>

<ul>
	<li>Minimum Bachelor's Degree in Mechanical or Electrical  Engineering from reputable university.</li>
	<li>Having experience more than 4 years as QS in apartment/ high rise building/ infrastructure.</li>
	<li>Highly self-initiative, good team player, hardworking and able to work under pressure.</li>
	<li>Fluency in English spoken and written.</li>
	<li>Can operate AutoCAD, MS Office.</li>
	<li>Good knowledge of materials, supplier and subcontractor.</li>
</ul>

<div> </div>

<div><strong>HOW TO APPLY</strong>:</div>

<ul>
	<li>if you interested in joining our talented team, send us your current CV in ENGLISH ONLY.</li>
</ul>
</div> </div>"
