site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification
jobstreet.co.id,https://www.jobstreet.co.id/en/job/staff-hrd-operasional-2860580?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=15,null,Staff HRD & Operasional,null,"
			Min 2 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Selatan - Lebak Bulus		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya Diploma di bidang apapun;</li>
	<li>Bahasa yang harus dimiliki: English, Bahasa Indonesia;</li>
	<li>Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini;</li>
	<li>Kemampuan yang harus dimiliki: Microsoft Office, Payroll, BPJS, General Affairs;</li>
	<li>Lebih disukai yang menguasai skoring alat psikotest seperti DISC, Personality Test.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sales-hotel-2860581?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=14,null,Sales Hotel,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Pusat - Mangga Besar Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>
<div>PT. Win Hotel Indonesia yang bernaung di bawah PT. Bintang Modern membuka kesempatan untuk berkembang bersama kami sebagai Sales Staff.</div>
</div>

<div>Tanggung Jawab Pekerjaan :</div>

<div>
<div>Tanggung Jawab Pekerjaan :<br>
– Follow Up Tour Travel &amp; organizer<br>
– Follow UP Wedding<br>
– Admin</div>
</div>

<div>Syarat Pengalaman :</div>

<div>Pengalaman minimal 1 tahun dibidang yang sama</div>

<div>Keahlian :</div>

<div>
<div>– Memiliki kemampuan komunikasi yang baik (lisan atau tulisan),<br>
– Pekerjakeras dan memiliki semangat untuk mengejar target penjualan,<br>
– Cepat dan mau belajar,<br>
– Teliti dan disiplin,<br>
– Dapat bekerja dibawah tekanan.</div>
</div>

<div>Kualifikasi :</div>

<div>
<div>– Usia 20 – 30 tahun,<br>
– Memiliki pengalaman pada bidang yang sama minimal 1 tahun,<br>
– Dapat mengoperasikan komputer,<br>
– Memiliki kemampuan komunikasi yang baik (lisan/tulisan),<br>
– Daerah penempatan : Bekasi Timur Dan Jakarta Pusat.</div>
</div>

<div>Waktu Bekerja :</div>

<div>Senin – Jumat, Jam : 08.00 s/d 17.00 (Tentative)</div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/healthcare-business-executive-hcbx-2860582?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=13,null,HEALTHCARE BUSINESS EXECUTIVE (HCBX),null,"
			Min 2 years (Supervisor/Coordinator) 
		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Melakukan penawaran produk Alat Kesehatan ke RS dan Outlet</li>
	<li>Melakukan Market Survey</li>
	<li>Melakukan analisa data Sales</li>
	<li>Melakukan pengontrolan ketersediaan stock barang</li>
	<li>Membuat laporan penjualan</li>
	<li>Berkoordinassi dengan prinsipal dan kantor pusat</li>
</ul>

<div> </div>

<div>KUALIFIKASI JABATAN :</div>

<ul>
	<li>Pendidikan Min. D3 segala jurusan</li>
	<li>Memiliki pengalaman kerja sebagai Sales Alat Kesehatan / Medical Representative min. 2 tahun</li>
	<li>Memiliki kemampuan Sales/Marketing, analisa data, market survey</li>
</ul>

<div>PENEMPATAN KANTOR CABANG : MANADO DAN BANJARMASIN</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/training-manager-2860583?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=12,null,TRAINING MANAGER,null,"
			Min 10 years (Manager/Assistant Manager) 
		","
			Indonesia - Jakarta Raya - Jakarta Utara - KEMAYORAN		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>Responsibilities</div>

<div>➢ Proactively develop sales oriented training module adaptable to Asia Pacific countries. </div>

<div>➢ Assist in the communicating with headquarter and the countries in Asia Pacific region to implement the guidance from HQ and provide the feedback from the frontline market.</div>

<div>➢ Create the marketing tools to support the training department. </div>

<div>➢ Organize the convention and incentive trip in Asian Pacific countries. </div>

<div>➢ Regularly upgrade the SOP to optimize the daily operation. </div>

<div> </div>

<div>      Qualification:   </div>

<div>➢ Bachelor’s degree required, MBA or equivalent experience preferred.</div>

<div>➢ Minimal 5 years of regional management experience in education aspects in Asia Pacific Region.</div>

<div>➢ Ability to develop the training module and carry out training. </div>

<div>➢ Excellent communication skills in both spoken and written English</div>

<div>➢ Ability to handle stress and to work under time pressure</div>

<div>➢ Communicative and team oriented with strong interpersonal skills</div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/driver-ekspedisi-2860584?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=11,null,Driver Ekspedisi,null,"
			Min 3 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li style=""text-align:justify"">Mengantarkan barang ke cabang / tempat tujuan sesuai yang ditugaskan</li>
	<li style=""text-align:justify"">Merawat dan menjaga kendaraan dan barang yang dibawa sampai ke tempat tujuan dalam kondisi baik</li>
	<li style=""text-align:justify"">Bertanggung jawab atas kendaraan dan barang yang dibawa sampai ke tempat tujuan</li>
	<li style=""text-align:justify"">Membuat laporan kunjungan cabang</li>
</ul>

<div style=""text-align:justify""><strong>KUALIFIKASI :</strong></div>

<ul>
	<li style=""text-align:justify"">Pendidikan minimal SMA sederajat.</li>
	<li style=""text-align:justify"">Usia maksimal 35 tahun.</li>
	<li style=""text-align:justify"">Memiliki SIM B1 aktif.</li>
	<li style=""text-align:justify"">Pengalaman sebagai driver mobil box/engkel minimal 3 tahun.</li>
	<li style=""text-align:justify"">Menguasai wilayah Jabodetabek.</li>
	<li style=""text-align:justify"">Berpenampilan rapi dan bersih.</li>
	<li style=""text-align:justify"">Disiplin, jujur, sopan bertanggung jawab, cekatan dan teliti.</li>
	<li style=""text-align:justify"">Bersedia untuk kerja lembur.</li>
	<li style=""text-align:justify"">Penempatan Palmerah.</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/event-organizer-2860585?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=10,null,EVENT ORGANIZER,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Sulawesi Utara - Manado		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities</strong><strong>:</strong></div>

<div> </div>

<ul>
	<li>Mempersiapkan segala kebutuhan sebuah acara</li>
	<li>membuat strategi, dan rancangan rencana aktivasi.</li>
	<li>Mendesign  dan mengelola seputar jadwal acara</li>
	<li>Membantu mensukseskan acara</li>
	<li>Mengawasi sebuah acara</li>
</ul>

<div> </div>

<div><strong>Requirements:</strong></div>

<div> </div>

<ul>
	<li>Berpenampilan Menarik</li>
	<li>Pendidikan minimal S1 segala jurusan</li>
	<li>Memiliki pengalaman sebagai Event Organizer atau Event Planning Analyst.</li>
	<li>Ahli dalam pembuatan dan pelaksanaan Event.</li>
	<li>Mampu mendesign suatu event dengan daya kreativitas tinggi.</li>
	<li>Mampu berkoordinasi dengan bagian internal maupun eksternal.</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/body-checking-karyawati-2860587?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=8,null,Body Checking karyawati,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Kandidat harus memiliki setidaknya SMA di bidang apapun.</li>
	<li>Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.</li>
	<li>Kemampuan yang harus dimiliki: teliti, security, rajin, jujur</li>
	<li>Lebih disukai Pegawai (non-manajemen &amp; non-supervisor) khusus dalam Lainnya/Kategori tidak tersedia atau setara.</li>
	<li>Melakukan Body Checking Untuk para karyawati</li>
	<li>Melakukan Pemeriksaaan terhadap benda yang di bawa (Tas,Dompet,alat make up) untuk para karyawati</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/brand-manager-cosmetics-2860589?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=7,null,Brand Manager Cosmetics,null,"
			Min 3 years (Manager/Assistant Manager) 
		",,,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>REQUIREMENTS</strong></div>

<ul>
	<li>
	<div>Someone with min bachelor degree</div>
	</li>
	<li>
	<div>Min 3 years working experience in relevant field in Consumer Goods (Cosmetics)</div>
	</li>
	<li>
	<div>Has strong critical thinking skills and creativity</div>
	</li>
	<li>
	<div>Able to work in a team</div>
	</li>
	<li>
	<div>Strong communication skills to increase the value, performance, brand and image</div>
	</li>
	<li>
	<div>Able to initiate plan, develop and direct marketing effort for the company for new or existing products</div>
	</li>
	<li>
	<div>have an instinctive feeling about future product concepts</div>
	</li>
	<li>
	<div>be a team leader, able to inspire others</div>
	</li>
	<li>
	<div>be able to manage different projects at the same time</div>
	</li>
	<li>
	<div>have good presentation skills.</div>
	</li>
	<li>
	<div>Fluent in English both written and spoken.</div>
	</li>
</ul>

<div> </div>

<div><strong>Job Description</strong></div>

<ul>
	<li>
	<div>Create innovative marketing campaigns and content to increase the awareness toward the brand potential segment.</div>
	</li>
	<li>
	<div>Creating and implementing an integrated creative &amp; cost-efficient marketing ideas together.</div>
	</li>
	<li>
	<div>Develop or refine a communications strategy.</div>
	</li>
	<li>
	<div>researching consumer markets, monitoring market trends.</div>
	</li>
	<li>
	<div>generating names for new and existing products and services, coming up with ideas for new packaging designs, including shape, size, colours, fonts and imagery</div>
	</li>
	<li>
	<div>overseeing the production of TV adverts, newspaper and magazine advertisements, direct mail packs, email campaigns, websites, exhibition stands, road shows and liaising with art designers, copywriters and media buyers</div>
	</li>
	<li>
	<div>supervising the sign off of marketing literature and campaigns, liaising with legal and compliance personnel, ensuring the designs and messages meet the company brand and regulatory guidelines</div>
	</li>
	<li>
	<div>monitoring product distribution and consumer reactions through focus groups and market research</div>
	</li>
	<li>
	<div>co-ordinating the launch programme to external customers as well as employees.</div>
	</li>
</ul>

<div> </div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/translater-2860590?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=6,null,TRANSLATER,null,"
		 	Less than 1 year experience		","
			Indonesia - Sulawesi Utara - Manado		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div><strong>Responsibilities</strong><strong>:</strong></div>

<div> </div>

<ul>
	<li>Membantu team dan person  dalam hal komunikasi korespondensi dengan pihak lain .</li>
	<li>Mendampingi Direksi /Management  apabila apabila bertemu dengan pihak dari Luar negeri/ China</li>
	<li>Korespondensi email dengan para stakeholder dan pihak pihak yang membutuhkan terjemahan</li>
</ul>

<div> </div>

<div><strong>Requirements:</strong></div>

<div> </div>

<ul>
	<li>Berpenampilan Menarik (usia maksimal 27 tahun)</li>
	<li>Pendidikian Minimal S1 Sederajat</li>
	<li>Memiliki Keterampilan Berbahasa Mandarin (Diprioritaskan)</li>
	<li>Mampu mengoperasikan Microsoft Office</li>
	<li>Komunikatif dan dapat bekerja dengan team</li>
	<li>Mampu bekerja dibawah Tekanan</li>
</ul>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/social-media-specialist-2860593?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=5,null,Social Media Specialist,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Selatan		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Develop, implement and manage our social media strategy</li>
	<li>Responsible for manage and create social media content</li>
	<li>Measure the success of every social media campaign</li>
	<li>Collaborate with Marketing, Sales, Editorial, and Product Development teams</li>
</ul>

<div>Requirements:</div>

<ul>
	<li>
	<div>Bachelor Degree from any Major, max 27 years old</div>
	</li>
	<li>
	<div>Preferred with experience as a Social Media Specialist or similar role</div>
	</li>
	<li>
	<div>Social Media savvy</div>
	</li>
	<li>
	<div>Critical thinker and problem-solving skills</div>
	</li>
	<li>
	<div>Good time-management skills</div>
	</li>
	<li>
	<div>Great interpersonal and communication skills</div>
	</li>
	<li>
	<div>
	<div>
	<div>Excellent multitasking skills</div>

	<div> </div>

	<div> </div>
	</div>
	</div>
	</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/administration-sap-2860594?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=4,null,Administration SAP,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Banten		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Tugas dan Tanggung Jawab:</strong></div>

<ul>
	<li>Menangani seluruh data-data dan berkas yang terkait</li>
	<li>Melakukan input data, filing dan dokumentasi pada program SAP</li>
	<li>Berkoordinasi dengan departemen-departemen terkait</li>
</ul>

<div><strong>Kualifikasi:</strong></div>

<ul>
	<li>Usia maksimal 27 tahun</li>
	<li>Pendidikan min D3 semua jurusan</li>
	<li>Menguasai program SAP</li>
	<li>Teliti dan tahan terhadap tekanan</li>
	<li>Memiliki kemampuan untuk bekerja sama dengan baik</li>
	<li>Bersedia kerja shift</li>
	<li>Bersedia penempatan <strong>di Tangerang</strong></li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-qa-2860558?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=3,null,Supervisor QA,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Jln. Raya Sarengseng Pabuaran Km.3 Subang		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least Bachelor's Degree in Engineering (Industrial) or equivalent.</li>
	<li>Required language(s): English</li>
	<li>At least 3 Year(s) of working experience in the related field is required for this position.</li>
	<li>Required Skill(s): QC 7th tools, sig sigma, ISO 9001, leadership, Problem solver</li>
	<li>Know About BOM, Spec Color, Trim Card, Sample Original, Packing  List ( L&amp;P ), dan Schedule Export</li>
	<li>
	<div>3 years experience in Gament / Textile</div>
	</li>
	<li><font color=""#212121""><span style=""font-size:13.3333px"">Can Communicate in English (Passive/Active)</span></font></li>
</ul>

<div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/android-developer-2860595?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=2,null,ANDROID DEVELOPER,null,"
			Min 2 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - Cengkareng		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>Responsibilities<br>
Mentranslasikan desain kedalam kode yang berkualitas<br>
Mendesain, menciptakan, dan memelihara kode yang berkualitas, reusable, dan berperforma tinggi<br>
Mengidentifikasi dan melakukan perbaikan pada bottleneck dan bugs<br>
Mentoring mengenai android jika diperlukan<br>
Melakukan testing pada kode yang telah dibuat</div>

<div> </div>

<div>Requirement<br>
Menguasai bahasa pemrograman Kotlin<br>
Terbiasa menggunakan library Dagger, RxJava, pattern MVVM, retrofit, Room<br>
Melakukan unit testing<br>
Terbiasa dengan RESTful API dan JSON<br>
Menguasai penggunaan Android SDK<br>
Mampu membuat aplikasi yang dapat mendukung seluruh versi android<br>
Mampu membangun aplikasi yang mendukung semua resolusi layar<br>
Mengoptimalkan performa aplikasi<br>
Mampu mengintegrasikan cloud messaging API<br>
Terbiasa dengan pemanfaatan sumber daya ponsel, seperti gyroscope, GPS, internet<br>
Terbiasa menggunakan git<br>
terbiasa dengan Continous integration<br>
Mampu menghubungkan RESTful API ke dalam aplikasi<br>
Mampu melakukan automated testing</div>
</div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/sql-dba-technical-consultant-2860597?fr=J&src=16&srcr=16&searchRequestToken=4a84c436-559c-4b31-c749-6fc8d51e1927&sectionRank=1,null,SQL DBA Technical Consultant,null,"
			Min 3 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div style=""text-align:justify""><strong>Main Job include Key Responsibilities:</strong></div>

<div style=""text-align:justify""> </div>

<ul>
	<li style=""text-align:justify"">as DBA Consultant (SQL) doing PM/CM</li>
	<li style=""text-align:justify"">Maintain and doing healthcheck/PM  Database of customer</li>
	<li style=""text-align:justify"">Tuning Database if needed (SQL)</li>
	<li style=""text-align:justify"">Setup and Implement DR &amp; HA (Always on, Replication, Mirroring, Cluster - SQL DB) and Maintenance DB</li>
</ul>

<div>
<div style=""text-align:justify""> </div>

<div style=""text-align:justify""><strong>Job Requirements:</strong></div>

<div style=""text-align:justify""> </div>
</div>

<ul>
	<li style=""text-align:justify"">Candidate must possess at least Bachelor's Degree, Master's Degree/Post Graduate Degree in Computer Science/Information Technology or equivalent.</li>
	<li style=""text-align:justify"">Experience as DBA (SQL DB, MySQL DB, Postgree dan Sybase) minimum 2-3 years.</li>
	<li style=""text-align:justify"">Have Skill HA &amp; DR concept SQL DB (Always On, Replication, Mirroring, Cluster), etc</li>
	<li style=""text-align:justify"">Diciplined, hard work, smart work</li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/administration-sap-2860594?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=4,null,Administration SAP,null,"
			Min 1 year (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Banten		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div><strong>Tugas dan Tanggung Jawab:</strong></div>

<ul>
	<li>Menangani seluruh data-data dan berkas yang terkait</li>
	<li>Melakukan input data, filing dan dokumentasi pada program SAP</li>
	<li>Berkoordinasi dengan departemen-departemen terkait</li>
</ul>

<div><strong>Kualifikasi:</strong></div>

<ul>
	<li>Usia maksimal 27 tahun</li>
	<li>Pendidikan min D3 semua jurusan</li>
	<li>Menguasai program SAP</li>
	<li>Teliti dan tahan terhadap tekanan</li>
	<li>Memiliki kemampuan untuk bekerja sama dengan baik</li>
	<li>Bersedia kerja shift</li>
	<li>Bersedia penempatan <strong>di Tangerang</strong></li>
</ul> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/supervisor-qa-2860558?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=3,null,Supervisor QA,null,"
			Min 3 years (Supervisor/Coordinator) 
		","
			Indonesia - Jawa Barat - Jln. Raya Sarengseng Pabuaran Km.3 Subang		",,"<div class=""unselectable wrap-text"" id=""job_description""> <ul>
	<li>Candidate must possess at least Bachelor's Degree in Engineering (Industrial) or equivalent.</li>
	<li>Required language(s): English</li>
	<li>At least 3 Year(s) of working experience in the related field is required for this position.</li>
	<li>Required Skill(s): QC 7th tools, sig sigma, ISO 9001, leadership, Problem solver</li>
	<li>Know About BOM, Spec Color, Trim Card, Sample Original, Packing  List ( L&amp;P ), dan Schedule Export</li>
	<li>
	<div>3 years experience in Gament / Textile</div>
	</li>
	<li><font color=""#212121""><span style=""font-size:13.3333px"">Can Communicate in English (Passive/Active)</span></font></li>
</ul>

<div> </div> </div>"
jobstreet.co.id,https://www.jobstreet.co.id/en/job/android-developer-2860595?fr=J&searchRequestToken=1d73513e-4c84-4693-ae92-0bf8ece25a1e&sectionRank=2,null,ANDROID DEVELOPER,null,"
			Min 2 years (Staff (non-management & non-supervisor)) 
		","
			Indonesia - Jakarta Raya - Jakarta Barat - Cengkareng		",,"<div class=""unselectable wrap-text"" id=""job_description""> <div>
<div>Responsibilities<br>
Mentranslasikan desain kedalam kode yang berkualitas<br>
Mendesain, menciptakan, dan memelihara kode yang berkualitas, reusable, dan berperforma tinggi<br>
Mengidentifikasi dan melakukan perbaikan pada bottleneck dan bugs<br>
Mentoring mengenai android jika diperlukan<br>
Melakukan testing pada kode yang telah dibuat</div>

<div> </div>

<div>Requirement<br>
Menguasai bahasa pemrograman Kotlin<br>
Terbiasa menggunakan library Dagger, RxJava, pattern MVVM, retrofit, Room<br>
Melakukan unit testing<br>
Terbiasa dengan RESTful API dan JSON<br>
Menguasai penggunaan Android SDK<br>
Mampu membuat aplikasi yang dapat mendukung seluruh versi android<br>
Mampu membangun aplikasi yang mendukung semua resolusi layar<br>
Mengoptimalkan performa aplikasi<br>
Mampu mengintegrasikan cloud messaging API<br>
Terbiasa dengan pemanfaatan sumber daya ponsel, seperti gyroscope, GPS, internet<br>
Terbiasa menggunakan git<br>
terbiasa dengan Continous integration<br>
Mampu menghubungkan RESTful API ke dalam aplikasi<br>
Mampu melakukan automated testing</div>
</div> </div>"
