site,url,domain_of_jobs,jobs,position,experience,location,salary,qualification_1,qualification_2,qualification_3 
karir.com,/opportunities/1084485,Telemarketing,Telesales Officer - Code CC-Karir23,Pemula / Staf,Setidaknya 1 tahun,Jakarta Selatan,IDR 4.000.000 - 5.000.000,"
,
","Administrasi Bisnis (Manajemen), Ekonomi, Ilmu Komunikasi, Ilmu Sosial dan Politik, Manajemen",Diploma
karir.com,/opportunities/1225449,Hubungan Investor and others,Relationship Services,Tidak Disebutkan,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Semuanya,Apa Saja
karir.com,/opportunities/1220713,"TI, Administrator and others",Developer Programmer,"Staf Senior, Supervisor, Asisten Manajer, Asisten Manajer Senior",Setidaknya 3 tahun,Apa saja,IDR 8.000.000 - 20.000.000,"

,
,

,
",Teknik Informatika,Apa Saja
karir.com,/opportunities/1223770,General Management and others,Manajer Operasional Call Centre,"Supervisor, Asisten Manajer, Manajer - Departemen",Setidaknya 0 tahun,Apa saja,IDR 15.000.000 - 35.000.000,"

,

,

,

,

,

,
,

,

,

,

,

,

,

,
","Lainnya, Administrasi Bisnis (Keuangan), Administrasi Bisnis (Manajemen), Ekonomi, Ilmu Komputer, Manajemen",Sarjana/S1
karir.com,/opportunities/1223771,Telemarketing,Telesales / Telemarketing,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"

,

,

,

,
,
",Semuanya,Apa Saja
karir.com,/opportunities/1223853,"TI, Web Developer",Full Stack Programmer Developer,Staf Senior,Setidaknya 2 tahun,Apa saja,IDR 8.000.000 - 20.000.000,"

,

,

,
,

,

,

,

,
",Teknik Informatika,Apa Saja
karir.com,/opportunities/1224210,"TI, Administrator and others",Full Stack PHP JUNIOR/SENIOR Web Developer,"Staf Senior, Supervisor, Manajer - Departemen, General Manager",Setidaknya 2 tahun,Apa saja,IDR 8.000.000 - 20.000.000,"

,

,
,

,

,
",Teknik Informatika,Diploma
karir.com,/opportunities/1224288,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224294,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224295,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224296,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224297,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224298,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224299,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1224300,Operasi Hotel and others,Call Centre Staff,Pemula / Staf,Setidaknya 1 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Lainnya,Apa Saja
karir.com,/opportunities/1225448,Telemarketing and others,Customer Service,Tidak Disebutkan,Setidaknya 2 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"
,
",Semuanya,Apa Saja
karir.com,/opportunities/1220360,"Akuntansi, Keuangan and others",Akuntansi Keuangan Officer,"Staf Senior, Supervisor",Setidaknya 3 tahun,Apa saja,IDR 7.500.000 - 20.000.000,"

,

,

,

,

,

,

,

,

,

,

,

,

,

,
,

,

,

,

,

,

,
","Administrasi Bisnis (Keuangan), Administrasi Bisnis (Manajemen), Akuntansi","Sarjana/S1, Master/S2"
karir.com,/opportunities/1218865,Administrasi and others,Staf Magang Konsultan,Pemula / Staf,Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
",Akuntansi,Sarjana/S1
karir.com,/opportunities/1218873,Kreatif / Desain and others,Freelance Staf Media,Pemula / Staf,Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
","Desain Komunikasi Visual, Seni dan Desain","Diploma, Sarjana/S1"
karir.com,/opportunities/1218878,Administrasi and others,Staf HRD,Pemula / Staf,Setidaknya 1 tahun,Yogyakarta,Gaji Kompetitif,"
,
",Psikologi,Sarjana/S1
karir.com,/opportunities/1226151,Editor,Redaktur/ Editor,"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,Yogyakarta,Gaji Kompetitif,"

,

,

,

,
,

,

,

,
","Ilmu Komunikasi, Sastra, Jurnalistik",Sarjana/S1
karir.com,/opportunities/1226275,Administrasi and others,Project Officer,Pemula / Staf,Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"

,

,

,

,

,

,

,
,

,

,

,

,

,

,
","Lainnya, Administrasi Bisnis (Manajemen), Ilmu Komunikasi, Manajemen","Diploma, Sarjana/S1"
karir.com,/opportunities/1226339,Penjualan dan Pemasaran,Customer Relation Officer,Pemula / Staf,Setidaknya 0 tahun,Semarang,Gaji Kompetitif,,Lainnya,"SLTA, Diploma"
karir.com,/opportunities/1226340,"TI, Administrator and others",Front End Programmer,Staf Senior,Setidaknya 2 tahun,DKI-Jakarta,IDR 5.000.000 - 15.000.000,"
,
","Ilmu Komputer, Teknik Komputer, Teknik Informatika",Sarjana/S1
karir.com,/opportunities/1225352,"Akuntansi, Keuangan and others",SUPERVISOR AKUNTING,Supervisor,Setidaknya 0 tahun,Surabaya,Gaji Kompetitif,"
,
",Akuntansi,Sarjana/S1
karir.com,/opportunities/1220120,Layanan Pelanggan,Customer Support,"Pemula / Staf, Staf Senior, Supervisor, Asisten Manajer, Asisten Manajer Senior, Manajer - Departemen",Setidaknya 2 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"

,

,

,
,
","Administrasi Bisnis (Manajemen), Ilmu Komputer, Ilmu Sosial dan Politik, Seni Drama, Pariwisata dan Perhotelan, Bahasa Indonesia, Desain Komunikasi Visual, Manajemen","SLTA, Diploma, Sarjana/S1"
karir.com,/opportunities/1220123,Administrasi and others,Call Centre Officer Kasino,"Pemula / Staf, Staf Senior, Supervisor, Asisten Manajer, Asisten Manajer Senior, Manajer - Departemen",Setidaknya 2 tahun,Apa saja,IDR 7.500.000 - 12.000.000,"

,

,
,
","Administrasi Bisnis (Manajemen), Seni dan Desain, Teknik Informatika, Teknik Telekomunikasi, Pariwisata dan Perhotelan, Bahasa Indonesia, Manajemen Informatika, Desain Komunikasi Visual, Manajemen","Diploma, Sarjana/S1"
karir.com,/opportunities/1220146,Bagian Umum and others,HRD Manager,"Supervisor, Asisten Manajer, Manajer - Departemen, Kepala Unit Bisnis",Setidaknya 3 tahun,Apa saja,IDR 8.000.000 - 20.000.000,"
,
","Ilmu Sosial dan Politik, Psikologi, Pariwisata dan Perhotelan, Hubungan Internasional, Manajemen","Diploma, Sarjana/S1, Master/S2"
karir.com,/opportunities/1220147,"TI, Programmer and others",Programmer PHP Laravel,"Staf Senior, Supervisor",Setidaknya 2 tahun,Apa saja,IDR 8.000.000 - 20.000.000,"

,
,

,
","Teknik Informatika, Teknik Telekomunikasi","Apa Saja, Diploma"
karir.com,/opportunities/1220148,"Teknik, Jaringan and others",IT System Administrator - Engineer,Supervisor,Setidaknya 2 tahun,Apa saja,Gaji Kompetitif,"

,

,

,

,

,

,

,

,
,

,
","Teknik Komputer, Teknik Informatika, Teknik Lainnya","Apa Saja, Diploma"
karir.com,/opportunities/1220149,Manajemen Merk / Produk and others,Manager Operasional,"Supervisor, Asisten Manajer, Manajer - Departemen, Manajer Senior",Setidaknya 2 tahun,Apa saja,IDR 10.000.000 - 25.000.000,"

,

,

,

,

,

,

,

,

,
,

,

,

,

,

,

,

,
","Administrasi Bisnis (Manajemen), Ilmu Komputer, Pariwisata dan Perhotelan, Manajemen","Sarjana/S1, Master/S2"
karir.com,/opportunities/1218864,Audit Intern / Pengawasan and others,Manajer KJA ,Manajer - Departemen,Setidaknya 3 tahun,Yogyakarta,Gaji Kompetitif,"
,

,

,

,

,
",Akuntansi,"Sarjana/S1, Master/S2"
karir.com,/opportunities/1071268,Kolektor,KOLEKTORR,Supervisor,Setidaknya 1 tahun,Bogor,IDR 3.000.000 - 5.000.000,"

,

,

,
,
",Lainnya,Apa Saja
karir.com,/opportunities/1075244,Penjualan dan Pemasaran,REGIONAL SALES MANAGER ,Manajer - Departemen,Setidaknya 1 tahun,Bogor,Gaji Kompetitif,"

,

,
,
",Lainnya,Apa Saja
karir.com,/opportunities/1075299,Penjualan dan Pemasaran,ASISTEN SALES MANAGER,Manajer - Departemen,Setidaknya 1 tahun,Bogor,Gaji Kompetitif,"

,

,
,
",Manajemen,Apa Saja
karir.com,/opportunities/1075393,Desainer Grafis Komputer,DESAIN GRAFIS,Supervisor,Setidaknya 1 tahun,Bogor,IDR 3.500.000 - 4.000.000,"
,
",Desain Produk,Apa Saja
karir.com,/opportunities/1226031,Administrasi,STAFF PERSONALIA,Supervisor,Setidaknya 1 tahun,Bogor,Gaji Kompetitif,"
,

,
",Manajemen,Diploma
karir.com,/opportunities/1226033,Administrasi,STAFF GENERAL AFAIR,Pemula / Staf,Setidaknya 1 tahun,Bogor,IDR 3.000.000 - 3.700.000,"
,
",Manajemen,Diploma
karir.com,/opportunities/1226337,Tidak disebutkan,CCTV Controller Staff,Staf Senior,Setidaknya 3 tahun,DKI-Jakarta,Gaji Kompetitif,,Lainnya,SLTA
karir.com,/opportunities/1218665,"Akuntansi, Keuangan and others",Staf Konsultan,Pemula / Staf,Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
",Akuntansi,"Sarjana/S1, Master/S2"
karir.com,/opportunities/1218685,"TI, Programmer and others",Programmer,Pemula / Staf,Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
","Teknik Komputer, Teknik Informatika, Manajemen Informatika","Diploma, Sarjana/S1"
karir.com,/opportunities/1218800,"Keuangan, Analis and others",Senior Konsultan,"Asisten Manajer Senior, Manajer - Departemen",Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
",Akuntansi,"Sarjana/S1, Master/S2"
karir.com,/opportunities/1218813,Administrasi and others,Staf Training,Pemula / Staf,Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
","Administrasi Bisnis (Manajemen), Ilmu Komunikasi, Psikologi, Pariwisata dan Perhotelan, Manajemen, Semuanya","Diploma, Sarjana/S1"
karir.com,/opportunities/1218814,Administrasi and others,Sekretaris,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,Yogyakarta,Gaji Kompetitif,"
,
",Sekretaris,"Diploma, Sarjana/S1"
karir.com,/opportunities/1218850,"TI, Programmer and others",Chief Technology Officer,Manajer - Departemen,Setidaknya 4 tahun,Yogyakarta,Gaji Kompetitif,"
,
","Ilmu Komputer, Teknik Komputer, Teknik Informatika","Sarjana/S1, Master/S2"
karir.com,/opportunities/1218851,Administrasi and others,Legal Advisor/ Corporate Secretary,"Supervisor, Asisten Manajer",Setidaknya 2 tahun,Yogyakarta,Gaji Kompetitif,"
,
",Hukum,"Sarjana/S1, Master/S2"
karir.com,/opportunities/1084245,Penjualan dan Pemasaran,Supervisor Telemarketing,Supervisor,Setidaknya 3 tahun,Bali,IDR 2.500.000 - 3.000.000,"

,

,

,

,

,
,

,

,

,
",Lainnya,Sarjana/S1
karir.com,/opportunities/1223378,"Teknik, Elektro ",Technician,"Pemula / Staf, Staf Senior",Setidaknya 2 tahun,DKI-Jakarta,IDR 3.500.000 - 4.500.000,"
,
",Teknik Elektro,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223786,Dokter Umum,Junior Doctor,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 5.000.000 - 7.000.000,"

,

,

,

,
,
",Kedokteran Umum,Sarjana/S1
karir.com,/opportunities/1223789,Konsultan,Beautician / Beauty Consultant / Therapist,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 2.400.000 - 3.000.000,"

,

,

,

,
,
",Lainnya,SLTA
karir.com,/opportunities/1223790,Perawat,Perawat / Beauty Consultant,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 2.400.000 - 3.000.000,"

,

,

,

,
,
","Perawat, Bidan",Diploma
karir.com,/opportunities/1223791,Terapis Kesehatan,Fisioterapi,Staf Senior,Setidaknya 1 tahun,DKI-Jakarta,IDR 3.500.000 - 4.000.000,"
,
",Lainnya,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223792,Perawat,Perawat / Beauty Consultant,Pemula / Staf,Setidaknya 0 tahun,Surabaya,IDR 2.080.000 - 3.000.000,"

,

,

,

,
,
","Perawat, Bidan",Diploma
karir.com,/opportunities/1224090,Dokter Umum,Junior Doctor,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 5.000.000 - 7.000.000,"

,

,

,

,
,
",Kedokteran Umum,Sarjana/S1
karir.com,/opportunities/1225255,Perawat,Perawat / Beauty Consultant,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 2.470.000 - 3.000.000,"

,

,

,

,
,
","Perawat, Bidan",Diploma
karir.com,/opportunities/1225256,Konsultan,Beautician / Beauty Consultant / Therapist,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 2.470.000 - 3.000.000,"

,

,

,

,
,
",Lainnya,SLTA
karir.com,/opportunities/1225859,General Management,Outlet Manager / Branch Manager,Manajer - Departemen,Setidaknya 0 tahun,DKI-Jakarta,IDR 5.000.000 - 5.200.000,"
,
","Lainnya, Perawat, Bidan",Diploma
karir.com,/opportunities/1226336,Tidak disebutkan,Regulatory Staff,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Semuanya,"SLTA, Diploma, Sarjana/S1"
karir.com,/opportunities/1220107,Layanan Pelanggan,Customer Service,"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,Surabaya,Gaji Kompetitif,"
,
",Semuanya,"Diploma, Sarjana/S1"
karir.com,/opportunities/1220109,Pemasaran (Teknis) and others,Marketing Analys & Warehouse System Analys,"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,Surabaya,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1220142,Kreatif / Desain,FASHION DESIGNER,"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,DKI-Jakarta,IDR 3.000.000 - 5.000.000,"
,
",Seni dan Desain,"Diploma, Sarjana/S1, Master/S2"
karir.com,/opportunities/1226331,"TI, Administrator",IT SUPPORT,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,Sarjana/S1
karir.com,/opportunities/1225444,Fresh Graduate,Cleaning Service,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 3.500.000 - 4.100.000,"

,

,

,

,

,

,

,
,

,

,

,
",Administrasi Pendidikan,SLTA
karir.com,/opportunities/1225462,Fresh Graduate,Staff Gudang,Pemula / Staf,Setidaknya 0 tahun,Tangerang,IDR 3.500.000 - 4.100.000,"

,

,

,

,

,

,

,

,
,

,

,
",Administrasi Bisnis (Manajemen),SLTA
karir.com,/opportunities/1222681,Manajemen Operasional,Supervisor Chipmunks Playland &  Cafe,Supervisor,Setidaknya 3 tahun,Gresik,Gaji Kompetitif,"
,
",Semuanya,Diploma
karir.com,/opportunities/1226332,Administrasi Import,Administration Import,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Semuanya,"SLTA, Diploma, Sarjana/S1"
karir.com,/opportunities/1226334,Desainer Grafis Komputer,Desainer Grafis Komputer,"Pemula / Staf, Staf Senior",Setidaknya 0 tahun,DKI-Jakarta,IDR 2.500.000 - 3.000.000,"
,
",Desain Komunikasi Visual,"Diploma, Sarjana/S1"
karir.com,/opportunities/1220526,Dokter Umum,Junior Doctor,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 5.000.000 - 7.000.000,"

,

,

,

,
,
",Kedokteran Umum,Sarjana/S1
karir.com,/opportunities/1220528,Terapis Kesehatan,Fisioterapi,Pemula / Staf,Setidaknya 1 tahun,DKI-Jakarta,IDR 3.500.000 - 3.700.000,"
,
",Lainnya,Diploma
karir.com,/opportunities/1220529,Manajemen Operasional,Operation Assistant Manager,Asisten Manajer,Setidaknya 2 tahun,DKI-Jakarta,IDR 6.000.000 - 7.000.000,"

,

,

,
,
","Ilmu Komunikasi, Psikologi, Manajemen",Sarjana/S1
karir.com,/opportunities/1220530,Akuntan Perpajakan,Accounting & Tax Staff,Staf Senior,Setidaknya 2 tahun,Jakarta Pusat,IDR 4.500.000 - 5.000.000,"
,
",Akuntansi,Diploma
karir.com,/opportunities/1221458,"Teknik, Elektro ", Technician ,Staf Senior,Setidaknya 2 tahun,DKI-Jakarta,IDR 3.500.000 - 4.000.000,"
,

,
",Teknik Elektro,Sarjana/S1
karir.com,/opportunities/1222361,Terapis Kesehatan,Fisioterapi,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 3.500.000 - 3.700.000,"
,
",Lainnya,Diploma
karir.com,/opportunities/1222907,Terapis Kesehatan,Fisioterapi,Pemula / Staf,Setidaknya 1 tahun,DKI-Jakarta,IDR 3.500.000 - 3.700.000,"
,
",Lainnya,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223377,Dokter Umum,Junior Doctor,Pemula / Staf,Setidaknya 0 tahun,DKI-Jakarta,IDR 5.000.000 - 7.000.000,"

,

,

,

,
,
",Kedokteran Umum,Sarjana/S1
karir.com,/opportunities/1224037,Telemarketing,Sales Marketing Representative,Pemula / Staf,Setidaknya 1 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
","Administrasi Bisnis (Keuangan), Administrasi Bisnis (Manajemen), Manajemen Informatika","SLTA, Diploma, Sarjana/S1"
karir.com,/opportunities/1223087,Manajemen Operasional,SUPERVISOR STORE JAKARTA BARAT-UTARA,Supervisor,Setidaknya 1 tahun,Jakarta Barat,IDR 3.800.000 - 4.100.000,"

,

,

,

,

,
,
",Administrasi Bisnis (Manajemen),SLTA
karir.com,/opportunities/1223352,Pemasaran (Teknis),KASIR EMPORIUM MALL PLUIT,Pemula / Staf,Setidaknya 1 tahun,DKI-Jakarta,IDR 3.356.000 - 3.649.000,"

,

,

,

,
,
",Teknik Lainnya,SLTA
karir.com,/opportunities/1224063,Operasi Ritel,SPG,Pemula / Staf,Setidaknya 0 tahun,Apa saja,IDR 3.100.000 - 3.600.000,"

,

,

,
,
",Semuanya,SLTA
karir.com,/opportunities/1224066,Operasi Ritel,ADMIN FASHION DESIGN,Pemula / Staf,Setidaknya 1 tahun,DKI-Jakarta,IDR 3.650.000 - 3.800.000,"
,
",Semuanya,SLTA
karir.com,/opportunities/1226268,"TI, Programmer",PHP Web Developer,"Pemula / Staf, Staf Senior, Insinyur",Setidaknya 3 tahun,DKI-Jakarta,IDR 7.000.000 - 10.000.000,"
,
","Ilmu Komputer, Teknik Informatika","Diploma, Sarjana/S1"
karir.com,/opportunities/1226265,Manajemen Proyek and others,Business Development ,"Staf Senior, Supervisor, Asisten Manajer, Manajer - Departemen, Manajer - Cabang/Regional, Manajer Senior, General Manager",Setidaknya 2 tahun,Jakarta Pusat,Gaji Kompetitif,"
,
","Administrasi Bisnis (Keuangan), Administrasi Bisnis (Manajemen), Ekonomi, Lainnya, Manajemen Informatika, Manajemen",Apa Saja
karir.com,/opportunities/1223420,"TI, Programmer",Web Developer (PHP Laravel Programmer),"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223424,"TI, Systems Analyst",System Analyst,"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223422,"TI, Programmer",Magento Developer,"Pemula / Staf, Staf Senior",Setidaknya 1 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223426,Manajemen Proyek,Project Manager (IT),"Manajer - Departemen, Manajer - Cabang/Regional, Manajer Senior",Setidaknya 3 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223427,"TI, Programmer",Sr. Web Developer,"Staf Senior, Supervisor",Setidaknya 3 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1223425,"TI, Systems Analyst",Senior System Analyst,"Staf Senior, Supervisor, Asisten Manajer, Asisten Manajer Senior, Manajer - Departemen",Setidaknya 3 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
",Teknik Informatika,"Diploma, Sarjana/S1"
karir.com,/opportunities/1226330,Investasi dan Keuangan,Account Executive,Supervisor,Setidaknya 0 tahun,Bali,IDR 3.000.000 - 4.000.000,"

,

,
,

,

,

,

,

,

,
",Ekonomi,Sarjana/S1
karir.com,/opportunities/1224084,Administrasi and others,Sales Executive,Staf Senior,Setidaknya 2 tahun,DKI-Jakarta,Gaji Kompetitif,"
,
","Administrasi Bisnis (Keuangan), Administrasi Bisnis (Manajemen), Manajemen Informatika, Manajemen","SLTA, Diploma, Sarjana/S1, Master/S2"
karir.com,/opportunities/1222848,Operasi Ritel,IT STAFF,Pemula / Staf,Setidaknya 1 tahun,DKI-Jakarta,IDR 4.000.000 - 6.000.000,"

,

,

,
,

,
",Teknik Informatika,Diploma
karir.com,/opportunities/1218332,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION CIREBON,Supervisor,Setidaknya 1 tahun,Cirebon,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218460,Administrasi,HRD STAFF (PAYROLL),Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 4.000.000 - 5.000.000,"

,

,

,

,

,

,

,

,
,

,

,

,

,

,
",Ekonomi,Diploma
karir.com,/opportunities/1218463,Administrasi,ADM HRD (KEPERSONALIAAN),Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 3.650.000 - 4.500.000,"

,

,

,

,

,

,

,

,

,

,
,

,

,

,

,

,

,
",Administrasi Bisnis (Manajemen),Diploma
karir.com,/opportunities/1218464,Operasi Ritel,SUPERVISOR RECRUITMENT,Supervisor,Setidaknya 1 tahun,Jakarta Barat,IDR 6.000.000 - 8.000.000,"

,

,

,

,

,

,

,

,

,
,

,

,

,
",Psikologi,Sarjana/S1
karir.com,/opportunities/1218467,Administrasi,ADM ONLINE,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 3.700.000 - 4.500.000,"

,

,

,

,

,

,

,

,
,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218469,Administrasi,FINANCE SUPERVISOR (SPVF),Supervisor,Setidaknya 1 tahun,Jakarta Barat,IDR 6.000.000 - 8.500.000,"

,

,

,

,

,

,
,

,
",Administrasi Bisnis (Keuangan),Sarjana/S1
karir.com,/opportunities/1218471,Administrasi,ADM ACCOUNTING,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 3.700.000 - 4.000.000,"

,

,

,

,

,

,

,
,

,

,
",Akuntansi,SLTA
karir.com,/opportunities/1218472,Hukum / Korporasi,LEGAL STAFF,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 4.000.000 - 5.500.000,"

,

,

,

,

,

,

,
,

,

,
",Hukum,Sarjana/S1
karir.com,/opportunities/1218473,Desainer Grafis Komputer,Design Grafis,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 4.000.000 - 5.500.000,"

,

,

,

,

,

,
,
",Desain Komunikasi Visual,Diploma
karir.com,/opportunities/1218474,Operasi Ritel,Recruitment Staff,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 4.000.000 - 5.000.000,"

,

,

,

,

,

,

,

,

,

,

,

,
,

,

,

,
",Psikologi,Sarjana/S1
karir.com,/opportunities/1218475,Satuan Pengamanan,Security (satpam),Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 3.650.000 - 4.000.000,"

,

,

,

,

,

,

,

,
,
",Semuanya,SLTA
karir.com,/opportunities/1218476,Operasi Ritel and others,Driver,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 3.650.000 - 4.000.000,"

,

,

,

,

,
,

,
",Semuanya,SLTA
karir.com,/opportunities/1218477,Operasi Ritel and others,Tukang Pola,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 3.800.000 - 6.000.000,"

,

,
,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218478,"TI, Web Developer",WEB DESIGN,Pemula / Staf,Setidaknya 1 tahun,Jakarta Barat,IDR 4.000.000 - 6.000.000,"

,
,

,

,
",Ilmu Komputer,Diploma
karir.com,/opportunities/1218308,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Karawaci,Supervisor,Setidaknya 1 tahun,Tangerang,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218311,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Depok,Supervisor,Setidaknya 1 tahun,Depok,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218312,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Citraland,Supervisor,Setidaknya 1 tahun,Jakarta Barat,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218323,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Pluit Village,Supervisor,Setidaknya 1 tahun,Jakarta Utara,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218324,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Jambi,Supervisor,Setidaknya 1 tahun,Jambi,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218326,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Surabaya,Supervisor,Setidaknya 1 tahun,Surabaya,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
karir.com,/opportunities/1218328,Operasi Ritel,SUPERVISOR STORE/ PIC (KEPALA TOKO) BUTIK FASHION Manado,Supervisor,Setidaknya 1 tahun,Manado,IDR 3.800.000 - 5.000.000,"

,

,

,

,
,

,

,

,
",Semuanya,Apa Saja
